# sol, $t_0$, $\Delta P_0$, $\Gamma$, ${\rm max}|F - \overline{F}|\overline{F}$
86, 10:40:14.16$\pm$0.06, 0.53$\pm$0.01, 4.8$\pm$0.2, -
86, 12:02:08.5$\pm$0.4, 0.7$\pm$0.01, 58$\pm$2, -
86, 12:34:01.55$\pm$0.04, 0.61$\pm$0.01, 4.1$\pm$0.1, -
86, 14:23:45.2$\pm$0.2, 0.43$\pm$0.01, 13.7$\pm$0.8, -
87, 13:02:46.6$\pm$0.4, 0.73$\pm$0.02, 35$\pm$2, -
87, 13:11:54$\pm$1, 0.31$\pm$0.02, 46$\pm$5, -
87, 13:18:45.3$\pm$0.5, 0.326$\pm$0.006, 53$\pm$2, -
87, 13:51:23$\pm$1, 0.62$\pm$0.01, 141$\pm$6, -
88, 12:04:16.3$\pm$0.1, 0.9$\pm$0.02, 11.2$\pm$0.6, 0.02274$\pm$3e-05
89, 11:21:25.5$\pm$0.2, 1.41$\pm$0.03, 21.5$\pm$0.9, -
89, 13:27:24$\pm$3, 0.36$\pm$0.01, 202$\pm$16, -
89, 13:54:46.8$\pm$0.2, 0.54$\pm$0.02, 8.3$\pm$0.7, -
89, 14:57:56.52$\pm$0.03, 2.65$\pm$0.05, 3.5$\pm$0.1, -
